FAIL [dispatch-author-contract] A4 status authored: expected 'authored', got ''
FAIL [dispatch-author-contract] A4 unit_id matches: expected 'c4b-fixture-unit', got ''
FAIL [dispatch-author-contract] A4 go matches: expected 'GO', got ''
FAIL [dispatch-author-contract] A4 containment clean: expected 'clean', got ''
FAIL [dispatch-author-contract] A4 contract_sha matches: expected '4802346927c4926d9e57c09c4cb572affc564dcac65dff1ef3aaac5a39222c64', got ''
FAIL [dispatch-author-contract] A4 spec_sha matches: expected '7acbfdc98635288a75b9a91b5577d321f9ec23dcc3a39f53d80f8f3eb8d5710d', got ''
FAIL [dispatch-author-contract] A4 runner matches: expected 'anthropic-compatible', got ''
FAIL [dispatch-author-contract] A4 model matches: expected 'glm-5.2', got ''
FAIL [dispatch-author-contract] A6 status breach: expected 'containment_breach', got ''
FAIL [dispatch-author-contract] A8 status authored: expected 'authored', got ''
FAIL [dispatch-author-contract] A8 go matches: expected 'GO', got ''
FAIL [dispatch-author-contract] A8 runner matches: expected 'anthropic-compatible', got ''
FAIL [dispatch-author-contract] A8 model matches: expected 'glm-5.2', got ''
